Frame,Time,RightHand_Accel_X,RightHand_Accel_Y,RightHand_Accel_Z,LeftHand_Accel_X,LeftHand_Accel_Y,LeftHand_Accel_Z,Label
1.0,0.016667,1.8952723300249523,5.633161400404775,5.745946225376231,-12.793588481675382,12.944157136790764,-3.4878582866116883,0
2.0,0.033334,0.5007159029714574,4.377442928317393,4.426009719119728,-13.249411999157696,13.57175024539716,-6.190596441098661,0
3.0,0.050001,0.2906711254716014,5.271646334733237,3.3804555959415707,-13.60097433029221,14.92142351770121,-8.42792007834057,0
4.0,0.066668,2.0937025372265885,8.068513675929609,3.084902405428553,-13.016413538328823,15.73437002015442,-8.922511076277667,0
5.0,0.083335,5.316129941125333,10.65886394797203,3.3824651999135176,-10.23543065255558,14.16994024780081,-7.130996669182737,0
6.0,0.100002,8.459590431814162,10.776719730418668,3.479122857237348,-4.235484674513494,9.31456498626338,-3.5066827223314,0
7.0,0.116669,10.425519772874384,7.595782092658971,2.515109086492907,4.780429123163842,1.903626599947872,0.8251049904069359,0
8.0,0.133336,10.983657325583248,2.344892720672887,0.3833366762838918,14.851760520493684,-6.12636909536722,4.715090813358208,0
9.0,0.150003,10.302924265208311,-2.3243511620972765,-1.994849932781745,22.94645946249169,-12.656552737421633,7.441761785837453,0
10.0,0.16667,8.774908930598615,-4.137930032750866,-3.400084344197169,26.648309945123,-16.426040594273633,8.756910143125928,0
11.0,0.183337,7.22879397504609,-2.892738573261836,-3.378713416721663,25.5588513133822,-17.58805412659669,8.738706545041262,0
12.0,0.200004,6.60833245326742,-0.3245621105153515,-2.462575538174693,21.33641221354521,-17.351426893053343,7.727214961464817,0
13.0,0.216671,7.309653611669279,1.6149521106052027,-1.422590668163617,16.469086298227893,-16.992718069714737,6.325823067224075,0
14.0,0.233338,9.162400011928677,2.11169055644602,-0.6165607015856684,12.76150531492927,-17.0686456647965,5.205486666896169,0
15.0,0.250005,11.833178397213535,1.4599396283174202,-0.1231095840962352,10.599531241170816,-17.350966363203412,4.677796593749953,0
16.0,0.266672,14.79337566729568,0.2980620721796589,-0.1708224752629252,9.368909404430449,-17.38382781745388,4.46295769584345,0
17.0,0.283339,17.147108320160484,-0.995541491156262,-1.098423584032853,8.425269091214025,-17.09559035738107,4.023647110261323,0
18.0,0.300006,18.024207702005512,-2.3636001176577186,-2.862690791988362,7.6342086683145265,-16.83510014135779,3.175083814433461,0
19.0,0.316673,17.096494160813485,-3.636798743024222,-4.775000804417145,7.0613955796143095,-16.791086565812883,2.256914063858056,0
20.0,0.33334,14.471002479212371,-4.106992523839238,-5.87266854393569,6.337978977202967,-16.458545313163043,1.6369337717766743,0
21.0,0.350007,10.402912355732044,-2.797985475027425,-5.567738612768827,4.603815534125947,-14.8152179263804,1.1756498884515896,0
22.0,0.366674,5.6432628916232,0.5423043279365298,-3.977706664478035,1.25240659558538,-11.2168054554287,0.3710571130624116,0
23.0,0.383341,1.78535064807154,4.786173886304768,-1.7440152734565455,-3.3253063548553574,-6.235252821355665,-0.9736938029264924,0
24.0,0.400008,0.2236469269515324,8.038191595156485,0.4200200617882813,-7.859990069701119,-1.4873676922040575,-2.42850680512225,0
25.0,0.416675,0.3570358465111363,8.898133632107541,2.0576993525886342,-11.045211990093389,1.5441278692196012,-3.3825572538495106,0
26.0,0.433342,-0.3449806200912686,7.140962287673799,2.9922849887957765,-12.301805443564389,2.5283733084143583,-3.663064673404324,0
27.0,0.450009,-3.666141701889495,3.725711895682093,3.2637077458119803,-11.982381769498453,2.1542167319639622,-3.541358663507156,0
28.0,0.466676,-8.354236864589609,0.5302328162949792,3.186169037502632,-10.98332504728881,1.2364897539942592,-3.220780672404532,0
