Frame,Time,RightHand_Accel_X,RightHand_Accel_Y,RightHand_Accel_Z,LeftHand_Accel_X,LeftHand_Accel_Y,LeftHand_Accel_Z,Label
1.0,0.016667,34.231076459861896,26.085129658937166,20.765632370852103,9.595443890311412,2.907215743653954,13.733052406261,0
2.0,0.033334,27.27670357337172,22.064658014601104,11.19259336167646,7.540916015909092,1.9264694881052655,10.288765537651424,0
3.0,0.050001,19.129177158848258,16.28979576747954,0.4604131968620187,5.531805781146097,1.0596420800832171,5.79683192752354,0
4.0,0.066668,11.59066185028294,9.10260273922895,-8.150086519032067,3.262345169875449,0.5257014581998003,0.4569656445066328,0
5.0,0.083335,5.61903526526178,1.4262474634709417,-12.829658709713025,0.5051894718423975,0.3294142938670863,-5.335639772662937,0
6.0,0.100002,1.045052887009977,-5.313863957982891,-14.043500596921938,-2.059029465684458,0.4222099958936055,-10.429906083154188,0
7.0,0.116669,-2.8228743071433198,-10.038541524958454,-13.649780825035933,-3.724666618984197,0.6682215120737276,-13.05768565848764,0
8.0,0.133336,-6.333439235172799,-12.69944157960535,-13.410639685245616,-4.957215282240515,0.7566787351559199,-11.840874935212987,0
9.0,0.150003,-9.22316654948057,-13.955192989571088,-13.992128478183616,-6.746866012400907,0.4791237908124298,-6.970654221469469,0
10.0,0.16667,-10.994463713382352,-14.330306230348056,-14.792834488477768,-8.927873675525653,0.0979681585031156,-0.4465248740290248,0
11.0,0.183337,-11.342154254749396,-13.88408421410223,-14.58671882601707,-10.04428098732706,0.125830179406166,5.136194981489093,0
12.0,0.200004,-10.413551710060316,-12.572792193246029,-12.685685361068646,-8.99724385550368,0.648915012963063,8.301522270598674,0
13.0,0.216671,-9.059109150942252,-10.647938053544731,-9.795021359123265,-6.261593495929603,1.0622734253419084,9.337562808708244,0
14.0,0.233338,-8.667204509433127,-8.58376733256799,-7.608967646719206,-3.488521597540133,0.5825709652640988,9.433596581512768,0
15.0,0.250005,-10.045153258468702,-6.716289317929319,-7.164317370453351,-2.30452787555759,-0.960034546987629,9.235070348046536,0
16.0,0.266672,-12.275176942115102,-5.084976518890396,-7.477924878834218,-3.249556022356275,-2.7575414045943223,8.081091418869526,0
17.0,0.283339,-13.25775413324725,-3.6098443884337374,-6.230946710917737,-5.376984986123532,-3.477515314523873,4.751460738366863,0
